economy,year,GDP_per_capita,Life_expectancy,Healthcare_spending_per_capita,Infant_mortality_rate,Education_expenditure_pct_GDP,Population,income_group,region
CAN,2020.0,43537.839298904,81.5351219512195,5649.16943359,4.5,4.88794994354248,38028638.0,HIC,NAC
CAN,2021.0,52886.6616372703,81.5168292682927,6483.37695313,4.5,4.74860000610352,38239864.0,HIC,NAC
CAN,2022.0,56256.8007264015,81.2453658536585,6255.02783203,4.5,4.88021993637085,38935934.0,HIC,NAC
CEB,2020.0,16595.9352698049,76.0162701269145,1182.57491439171,3.9944836328859,4.62503004074097,101215763.0,,
CEB,2021.0,19239.8185020397,74.7232827859077,1406.44098422552,3.92952886675911,4.68406009674072,100205732.0,,
CEB,2022.0,19548.6930479638,76.6522987292583,1361.14887526443,3.92088972010921,4.31646490097046,100071871.0,,
CHE,2020.0,85897.7843338323,83.0,10348.34667969,3.5,5.27676010131836,8638167.0,HIC,ECS
CHE,2021.0,93664.7736696111,83.7512195121951,11262.23046875,3.5,5.03708982467651,8704546.0,HIC,ECS
CHE,2022.0,94394.5106803525,83.6048780487805,10963.43066406,3.5,4.92419004440308,8777088.0,HIC,ECS
CHI,2020.0,56785.9402005039,80.9,,,,166235.0,HIC,ECS
CHI,2021.0,66912.1753241171,80.3,,,,166741.0,HIC,ECS
CHI,2022.0,67627.3084478235,81.0,,,,167215.0,HIC,ECS
CHL,2020.0,13114.815470545,79.349,1270.97814941,5.9,5.62993001937866,19370624.0,HIC,LCN
CHL,2021.0,16206.8325493421,78.876,1576.69287109,5.8,4.99923992156982,19456334.0,HIC,LCN
CHL,2022.0,15405.6165774073,79.176,1547.28967285,5.9,4.89753007888794,19553036.0,HIC,LCN
CHN,2020.0,10627.4637989619,78.019,582.95092773,5.5,,1411100000.0,UMC,EAS
CHN,2021.0,12887.4357242941,78.117,670.25897217,5.1,,1412360000.0,UMC,EAS
CHN,2022.0,12970.6056414327,78.202,672.45159912,4.8,,1412175000.0,UMC,EAS
CIV,2020.0,2179.72934832935,60.14,78.97766876,50.9,3.78674006462097,28915449.0,LMC,SSF
CIV,2021.0,2455.98127626488,60.29,92.39588928,49.2,3.32718992233276,29639736.0,LMC,SSF
CIV,2022.0,2333.37128334477,61.562,86.15213013,47.9,3.51197004318237,30395002.0,LMC,SSF
CMR,2020.0,1555.60370660749,61.674,66.17185211,45.3,3.10390139858492,26210558.0,LMC,SSF
CMR,2021.0,1672.32657340872,61.146,72.56921387,43.8,2.8493076272306,26915758.0,LMC,SSF
CMR,2022.0,1604.87726954895,62.443,71.97737885,42.5,2.65952378267367,27632771.0,LMC,SSF
COD,2020.0,507.521230077872,60.428,20.5593071,48.4,2.62263835311571,95989998.0,LIC,SSF
